book,num,title,title2,originalTitle,composer,composer2,author,author2,theme
JEM,761,Il m'aime,Il m'a tant donné,,"Schnegg, Judith",Judith Schnegg,"Schnegg, Judith",Judith Schnegg,Engagement
JEM,762,J'ai confiance,"J'ai confiance quand, dans ta présence",Trust in the Lord,"Bowater, Chris",Chris Bowater,"Bowater, Chris",Chris Bowater,Foi et confiance
JEM,763,Je crois,Roi de paix venu du ciel,,"Schneider, Rolf",Rolf Schneider,"Schneider, Rolf",Rolf Schneider,Confession
JEM,764,Je déclare,À Dieu soient le règne,,"Ostrini, Thierry",Thierry Ostrini,"Ostrini, Thierry",Thierry Ostrini,Confession
JEM,765,Je dépose devant toi,J'ouvre mon cœur à ton Esprit,,"Rochat, Etienne",Etienne Rochat,"Rochat, Etienne",Etienne Rochat,Confession
JEM,766,Je fléchis le genou,Et j'abandonne entre tes mains,,"Ternisien, Nicolas",Nicolas Ternisien,"Ternisien, Nicolas",Nicolas Ternisien,Confession
JEM,767,Je le reconnais,Apprends-moi à te servir,,"Freymond, Sylvain",Sylvain Freymond,"Freymond, Sylvain",Sylvain Freymond,Confession
JEM,768,Je sais en vérité,,,"Berning, Pat",Pat Berning,"Berning, Pat",Pat Berning,Louange
JEM,769,Jésus-Christ,Je repense à ton sacrifice,Jesus Christ,"Redman, Matt",Matt Redman,"Redman, Matt",Matt Redman,Jésus-Christ
JEM,770,Jésus est ressuscité,"Pourquoi, parmi les morts",,"Berning, Pat",Pat Berning,"Berning, Pat",Pat Berning,Jésus-Christ
JEM,771,"Jésus, j'élève ma voix vers toi",,,"Pialat, Daniel",Daniel Pialat,"Pialat, Daniel",Daniel Pialat,Joie et célébration
JEM,772,Jésus sois le centre,,Be the Center,"Frye, Michael",Michael Frye,"Frye, Michael",Michael Frye,Prière
JEM,773,Je veux demeurer dans ta grâce,,,"Lafitte, Corinne",Corinne Lafitte,"Lafitte, Corinne",Corinne Lafitte,Confession
JEM,774,Je veux te rester fidèle,,,"Freymond, Sylvain",Sylvain Freymond,"Freymond, Sylvain",Sylvain Freymond,Engagement
JEM,775,Je viens t'adorer,Vivre près de toi,,"Schneider, Rolf",Rolf Schneider,"Schneider, Rolf",Rolf Schneider,Engagement
JEM,776,La présence de mon Dieu,Je connais un endroit,,"Bourbouze, Elisabeth",Elisabeth Bourbouze,"Bourbouze, Elisabeth",Elisabeth Bourbouze,Intimité
JEM,777,La lumière de ta présence,Réchauffe mon âme,,"Panci-McGowen, Linda",Linda Panci-McGowen,"Panci-McGowen, Linda",Linda Panci-McGowen,Prière
JEM,778,Le centre de ma vie,"Jésus, sois le centre de ma vie",,Hemanasion,Hemanasion,Hemanasion,Hemanasion,Consécration
JEM,779,Le chant du Père,J'ai chanté tant de chansons,The Father's Song,"Redman, Matt",Matt Redman,"Redman, Matt",Matt Redman,Dieu
JEM,780,Le cri d'El shaddaï,Entendez-vous?,The Shout of El Shaddaï,"Wilbur, Paul ; Kerr, Ed",Paul Wilbur ; Ed Kerr,"Wilbur, Paul ; Kerr, Ed",Paul Wilbur ; Ed Kerr,Combat spirituel
JEM,781,Le lion de Juda,Nous élevons la voix,The Lion of Judah,"Bell, Dave",Dave Bell,"Bell, Dave",Dave Bell,Proclamation
JEM,782,Le plus grand amour,Il n'y a pas de plus grand amour,,"Ben, Bruno ; Harmonisation: Fady, Barbara",Bruno Ben ; Harmonisation: Barbara Fady,Jean-Louis Fradon,Jean-Louis Fradon,Unité
JEM,783,Le plus haut,"Lui, qui est monté",,"Alonso, Gabriel",Gabriel Alonso,"Alonso, Gabriel",Gabriel Alonso,Proclamation
JEM,784,Lève-toi,Que tes ennemis soient dispersés !,,"Andres, Joël",Joël Andres,"Andres, Joël",Joël Andres,Intercession
JEM,785,"Louange, honneur, gloire","De tout éternité, tu es le Fils aimé",,"Freymond, Sylvain",Sylvain Freymond,"Freymond, Sylvain",Sylvain Freymond,Louange
JEM,786,Louez Adonaï,Qui est semblable ?,Praise Adonaï,"Baloche, Paul",Paul Baloche,"Baloche, Paul",Paul Baloche,Louange
JEM,787,"Louez, louez",Louez l'Éternel !,,"Lafitte, Corinne",Corinne Lafitte,"Lafitte, Corinne",Corinne Lafitte,Louange
JEM,788,Lumière du monde,Et me voici pour louer,Light of the World,"Hughes, Tim",Tim Hughes,"Hughes, Tim",Tim Hughes,Confession
JEM,789,M'approcher de Dieu,"Pour moi, m'approcher de Dieu",,"Panci-McGowen, Linda",Linda Panci-McGowen,"Panci-McGowen, Linda",Linda Panci-McGowen,Intimité
JEM,790,Maranatha,Il revient victorieux,,"Schnegg, Judith",Judith Schnegg,"Schnegg, Judith",Judith Schnegg,Espérance
JEM,791,Merci Seigneur,Pour ton amour,,"Berning, Pat",Pat Berning,"Berning, Pat",Pat Berning,Reconnaissance
JEM,792,Mes mots sont peu de chose,"Tu es mon espérance, ma joie",,"Freymond, Sylvain",Sylvain Freymond,"Freymond, Sylvain",Sylvain Freymond,Louange
JEM,793,"Me voici, Seigneur",Pour faire ta volonté,,"Freymond, Sylvain",Sylvain Freymond,"Freymond, Sylvain",Sylvain Freymond,Consécration
JEM,794,Mon ancre et ma voile,"Dieu, tu es ma force",,"Durham, David",David Durham,"Durham, David ; Schneider, Rolf",David Durham ; Rolf Schneider,Prière
JEM,795,Mon coeur t'appartient,"Et je te louerai, Seigneur","Lord, you have my Heart","Smith, Martin James",Martin James Smith,"Smith, Martin James",Martin James Smith,Consécration
JEM,796,"Mon Dieu, toi le Roi",,,"Berning, Pat",Pat Berning,"Berning, Pat",Pat Berning,Louange
JEM,797,Naître,Etre ou ne pas être,,"Ostrini, Thierry",Thierry Ostrini,"Ostrini, Thierry",Thierry Ostrini,Consécration
JEM,798,Notre Dieu a triomphé,"Jésus est Seigneur, il est le vainqueur",,"Bourbouze, Elisabeth",Elisabeth Bourbouze,"Bourbouze, Elisabeth",Elisabeth Bourbouze,Exhortation
JEM,799,Nous annonçons le Roi,De nos montagnes,,"Decourroux, Philippe",Philippe Decourroux,"Decourroux, Philippe",Philippe Decourroux,Combat spirituel
JEM,800,Nous élevons le nom qui sauve,,,"Motte, Thérèse",Thérèse Motte,"Motte, Thérèse",Thérèse Motte,Exhortation
JEM,801,Nous nous attendons à te voir,,,"Lafitte, Corinne",Corinne Lafitte,"Lafitte, Corinne",Corinne Lafitte,Prière
JEM,802,Nous sommes dans la joie,Quand l'Eternel ramena,,"Berning, Pat",Pat Berning,"Berning, Pat",Pat Berning,Joie et célébration
JEM,803,Nous sommes un peuple,Un peuple qui chante,,"Lachat, Pierre",Pierre Lachat,"Lachat, Pierre",Pierre Lachat,L'Eglise
JEM,804,Nous sommes venus,Et nous avons cru,Wir sind gekommen,"Keller, Lilo",Lilo Keller,"Keller, Lilo",Lilo Keller,Louange
JEM,805,Nous venons dans ta présence,Sans un défaut et sans tache,Into Your Presence We Come,"Lane, Tom",Tom Lane,"Lane, Tom",Tom Lane,Adoration
JEM,806,O Dieu mon roc,"Entends mon cri, ô Dieu",,"Panci McGowen, Linda; Schneider, Rolf",Linda Panci McGowen ; Rolf Schneider,"Panci McGowen, Linda; Schneider, Rolf",Linda Panci McGowen ; Rolf Schneider,Prière
JEM,807,"O Dieu, tu es mon Dieu",Je te chercherai dès l'aurore,Step by Step,Beaker,Beaker,Beaker,Beaker,Consécration
JEM,808,Oui ce pain,"Je suis pauvre, je suis nu",,"Gallay, Jean-Jacques",Jean-Jacques Gallay,"Gallay, Jean-Jacques",Jean-Jacques Gallay,Sainte-cène
JEM,809,Ouvre le ciel,"Seigneur, tes promesses",,"Schneider, Rolf",Rolf Schneider,"Schneider, Rolf",Rolf Schneider,Intercession
