"book","num","title","title2","originalTitle","composer","composer2","author","author2","theme"
"À toi la gloire",65,"Quand les montagnes",,,"Hogen, John van den","John van den Hogen","Hogen, John van den","John van den Hogen","Louanges à Dieu"
"À toi la gloire",66,"Gloire à ton nom, Jésus !",,"Praise the name of Jesus","Hicks, Roy","Roy Hicks","Jeunesse en Mission","Jeunesse en Mission","Louanges à Jésus-Christ"
"À toi la gloire",67,"À l'Agneau sur son trône",,"Diademata","Elvey, George Job","George Job Elvey","Saillens, Ruben","Ruben Saillens","Louanges à Jésus-Christ"
"À toi la gloire",68,"Hosanna, béni soit",,,"Malan, César","César Malan","Malan, César","César Malan","Louanges à Jésus-Christ"
"À toi la gloire",69,"Ma richesse, ma gloire",,"Jerusalem","Purday, Charles Henry","Charles Henry Purday","Bez, Samuel","Samuel Bez","Louanges à Jésus-Christ"
"À toi la gloire",70,"Ton Eglise triomphante",,,"Mountain, James","James Mountain","Saillens, Ruben","Ruben Saillens","Louanges à Jésus-Christ"
"À toi la gloire",71,"Entonnons un saint cantique",,"Wachet auf, ruft uns die Stimme","Nicolaï, Philippe","Philippe Nicolaï","Monnier, J.-F.","J.-F. Monnier","Louanges à Jésus-Christ"
"À toi la gloire",72,"Rien n'est comparable",,,"Inconnu","Inconnu","Inconnu","Inconnu","Louanges à Jésus-Christ"
"À toi la gloire",73,"Jésus, à toi la gloire !",,"Ten Thousand Thanks to Jesus","Kirkpatrick, William James","William James Kirkpatrick","Blocher, Jacques-A.","Jacques-A. Blocher","Louanges à Jésus-Christ"
"À toi la gloire",74,"Vers toi monte notre hommage",,,"Air anglais","Air anglais","Budry, Edmond Louis","Edmond Louis Budry","Louanges à Jésus-Christ"
"À toi la gloire",75,"Oh ! que toute la terre entonne",,,"Air écossais","Air écossais","Booth-Clibborn, Arthur Sydney","Arthur Sydney Booth-Clibborn","Louanges à Jésus-Christ"
"À toi la gloire",76,"Seigneur, que n'ai-je mille voix",,"O for a thousand tongues","Jarman, Thomas","Thomas Jarman","Saillens, Ruben","Ruben Saillens","Louanges à Jésus-Christ"
"À toi la gloire",77,"Jésus-Christ seul demeure",,,"Inconnu","Inconnu","Nicole, Jules-Marcel","Jules-Marcel Nicole","Louanges à Jésus-Christ"
