"book","num","title","title2","originalTitle","composer","composer2","author","author2","theme"
"Ailes de la Foi",425,"Pour tous les saints.",,"For all the Saints","Booth, Josiah","Josiah Booth","Saillens, Ruben","Ruben Saillens","Ciel"
"Ailes de la Foi",426,"Pour toujours avec Lui.","Je languis ici-bas","Forever with the Lord","Woodbury, Isaac Baker","Isaac Baker Woodbury","Saillens, Ruben","Ruben Saillens","Ciel"
"Ailes de la Foi",427,"Matelots en voyage.","Notre port est au ciel",,"Bret, E.","E. Bret","Tournier, Louis","Louis Tournier","Ciel"
"Ailes de la Foi",428,"Il est un pays bienheureux.","Dans ce doux avenir",,"Air Gallois","Air Gallois","Saillens, Ruben","Ruben Saillens","Ciel"
"Ailes de la Foi",429,"O toi qui fus fondée.",,"Jerusalem the Golden","Ewing, Alexander","Alexander Ewing","Saillens, Ruben ; d'après Bernard de Cluny","Ruben Saillens ; d'après Bernard de Cluny","Ciel"
"Ailes de la Foi",430,"Sur toi pierre angulaire.",,"Jerusalem the Golden","Ewing, Alexander","Alexander Ewing","Saillens, Ruben","Ruben Saillens","Ciel"
"Ailes de la Foi",431,"Plus de pleurs.","Repos, amour, au doux séjour",,"Stebbins, George Coles","George Coles Stebbins","Saillens, Ruben","Ruben Saillens","Ciel"
"Ailes de la Foi",432,"Voir mon Sauveur.","Oui, dans ta magnificence","Face to face with Christ","Tullas, Grant Colfax","Grant Colfax Tullas","Rochedieu, Charles","Charles Rochedieu","Ciel"
"Ailes de la Foi",433,"Pour moi chrétien.",,"Long long ago","Bayly, Thomas Haynes","Thomas Haynes Bayly","Bost, Ami","Ami Bost","Ciel"
"Ailes de la Foi",434,"Oh ! quel beau jour.","Nombreux comme le sable","Numberless as the Sands","Blackmer, Francis Augustus","Francis Augustus Blackmer","Booth-Clibborn, Arthur Sydney","Arthur Sydney Booth-Clibborn","Ciel"
"Ailes de la Foi",435,"Au ciel est la maison.","Vers le ciel, vers le ciel nous marchons",,"Case, Charles Clinton","Charles Clinton Case","Budry, Edmond Louis","Edmond Louis Budry","Ciel"
"Ailes de la Foi",436,"Connais-tu cette cité ?",,"No Night there","Danks, Hart Pease","Hart Pease Danks","Guillod, Georges","Georges Guillod","Ciel"
"Ailes de la Foi",437,"Vers le ciel, vers le ciel.",,"Laßt mich gehn, laßt mich gehn","Voigtländer, Karl Friedrich","Karl Friedrich Voigtländer","Rivier, Théophile","Théophile Rivier","Ciel"
"Ailes de la Foi",438,"Seigneur, dirige tous mes pas.",,,"Monsell-Wolff, Mme","Mme Monsell-Wolff","Monsell-Wolff","Monsell-Wolff","Ciel"
"Ailes de la Foi",439,"Seigneur, donne-moi des ailes.","C'est là-haut qu'est ma patrie","Shall We Gather At the River?","Lowry, Robert","Robert Lowry","Cantique imité","Cantique imité","Ciel"
"Ailes de la Foi",440,"Sainte Sion, ô patrie éternelle.",,,"Arnold, Samuel","Samuel Arnold","Recueil de la Confession d'Augsbourg","Recueil de la Confession d'Augsbourg","Ciel"
"Ailes de la Foi",441,"Il est là-haut !",,"Freut euch, ihr Christen","Abt, Franz","Franz Abt","Wennagel, R.","R. Wennagel","Ciel"
"Ailes de la Foi",442,"Ah ! pourquoi l'amitié.","Ils ne sont pas perdus",,"Bost, Ami","Ami Bost","Vinet, Alexandre","Alexandre Vinet","Deuil"
"Ailes de la Foi",443,"Consolez vos coeurs qui pleurent.",,"Wachet auf, ruft uns die Stimme","Nicolaï, Philippe","Philippe Nicolaï",,,"Deuil"
"Ailes de la Foi",444,"Entonnons un saint cantique.","Louange, empire, honneur","Wachet auf, ruft uns die Stimme","Nicolaï, Philippe","Philippe Nicolaï","Monnier, J.-F.","J.-F. Monnier","Deuil"
"Ailes de la Foi",445,"Non, ce n'est pas mourir.",,,"Malan, César","César Malan","Malan, César","César Malan","Deuil"
"Ailes de la Foi",446,"Qui sont ces gens.","Des palmes à la main","Sweeping Through the Gates","O'Kane, Tullius Clinton","Tullius Clinton O'Kane","Glardon, Auguste","Auguste Glardon","Deuil"
