"book","num","title","title2","originalTitle","composer","composer2","author","author2","theme"
"JEM Kids",132,"Si j'étais un papillon",,,"Howard, Brian","Brian Howard","Howard, Brian","Brian Howard","Louange"
"JEM Kids",133,"Toujours dispo",,,"Hey, Denis et Isabelle","Denis et Isabelle Hey","Hey, Denis et Isabelle","Denis et Isabelle Hey","Prière"
"JEM Kids",134,"Tu as … ans",,"Zwei bist du heut'","Kovar, Lilian","Lilian Kovar","Kovar, Lilian","Lilian Kovar","Anniversaire"
"JEM Kids",135,"Tu es le Dieu fidèle",,,"Paton, Marc et Rachel","Marc et Rachel Paton","Paton, Marc et Rachel","Marc et Rachel Paton","Confiance"
"JEM Kids",136,"Tu as voulu de moi",,,"Hey, Denis et Isabelle","Denis et Isabelle Hey","Hey, Denis et Isabelle","Denis et Isabelle Hey","Identité"
"JEM Kids",137,"Un enfant si petit",,,"Bussy, Jean-François","Jean-François Bussy","Bussy, Jean-François","Jean-François Bussy","Noël"
"JEM Kids",138,"Un jour… tous devant Jésus",,,"Grandjean, Hélène et Samuel","Hélène et Samuel Grandjean","Grandjean, Hélène et Samuel","Hélène et Samuel Grandjean","Ciel"
"JEM Kids",139,"Une flamme en moi",,,"Inconnu","Inconnu","Inconnu","Inconnu","Témoignage"
"JEM Kids",140,"Une goutte tombe",,,"Grandjean, Hélène et Samuel","Hélène et Samuel Grandjean","Grandjean, Hélène et Samuel","Hélène et Samuel Grandjean","Difficultés"
"JEM Kids",141,"Viens avec moi",,,"Paton, Marc et Rachel","Marc et Rachel Paton","Paton, Marc et Rachel","Marc et Rachel Paton","Louange"
"JEM Kids",142,"Vite… à nouveau sur pieds",,"Quick… on your feet again","Smale, Ian","Ian Smale","Smale, Ian","Ian Smale","Renouvellement"
"JEM Kids",143,"Vivre à contre-courant",,,"Dirlewanger, Marc","Marc Dirlewanger","Dirlewanger, Marc","Marc Dirlewanger","Choix"
"JEM Kids",144,"Vrai, vrai, vrai",,,"Grandjean, Hélène et Samuel","Hélène et Samuel Grandjean","Grandjean, Hélène et Samuel","Hélène et Samuel Grandjean","Parole de Dieu"
"JEM Kids",145,"Bien aimés",,"Beloved","Ryder, Dennis","Dennis Ryder","1 Jean 4:7-8","1 Jean 4:7-8","Amour"
"JEM Kids",146,"Attention à ce que tu dis",,,"Equipe Quartier Libre Yverdon","Equipe Quartier Libre Yverdon","Equipe Quartier Libre Yverdon","Equipe Quartier Libre Yverdon","Paroles"
"JEM Kids",147,"Bienvenue à chacun",,"Everybody's welcome","Hemming, Nigel","Nigel Hemming","Hemming, Nigel","Nigel Hemming","Accueil"
"JEM Kids",148,"Brille",,"Let your light shine","Smith, Carol","Carol Smith","Matthieu 5:16","Matthieu 5:16","Témoignage"
"JEM Kids",149,"C'est Dieu qui m'a créé",,,"Paton, Marc","Marc Paton","Paton, Marc","Marc Paton","Identité"
"JEM Kids",150,"C'est la nuit de Noël",,,"Bühler, Aline","Aline Bühler","Bühler, Aline","Aline Bühler","Noël"
"JEM Kids",151,"Chaque geste",,"Every move I make","Ruis, David","David Ruis","Ruis, David","David Ruis","Louange"
"JEM Kids",152,"Cherchez d'abord",,,"Owens, Heather","Heather Owens","Owens, Heather","Heather Owens","Témoignage"
"JEM Kids",153,"Crie ta gloire",,"Shout your fame","Myrin, Jonas; Galanti, Gio; Nevison, Natasha & Paul","Jonas Myrin, Gio Galanti, Natasha & Paul Nevison","Myrin, Jonas; Galanti, Gio; Nevison, Natasha & Paul","Jonas Myrin, Gio Galanti, Natasha & Paul Nevison","Louange"
"JEM Kids",154,"De tout mon cœur",,"All of my heart","Marks, Doug","Doug Marks","Marks, Doug","Doug Marks","Adoration"
"JEM Kids",155,"Des projets pour toi",,,"Pons, Isabelle","Isabelle Pons","Pons, Isabelle","Isabelle Pons","Promesses"
"JEM Kids",156,"Dieu a un plan",,,"Paton, Marc","Marc Paton","Paton, Marc","Marc Paton","Promesses"
"JEM Kids",157,"Dieu agit",,"Great Things","Stocker, Jay","Jay Stocker","Stocker, Jay","Jay Stocker","Action de Dieu"
"JEM Kids",158,"Dieu si bon",,,"Owens, Heather; Hamel, Nancie","Heather Owens, Nancie Hamel","Owens, Heather; Hamel, Nancie","Heather Owens, Nancie Hamel","Louange"
"JEM Kids",159,"Dis la vérité",,,"Pons, Isabelle; Schneider, Valérie et Pons, Christine","Isabelle Pons, Valérie Schneider et Christine Pons","Pons, Isabelle; Schneider, Valérie et Pons, Christine","Isabelle Pons, Valérie Schneider et Christine Pons","Paroles"
"JEM Kids",160,"Dieu super fort",,"Your life will change","A'Bell, Julia & Wakerley, David","Julia A'Bell & David Wakerley","A'Bell, Julia & Wakerley, David","Julia A'Bell & David Wakerley","Louange"
"JEM Kids",161,"Emmanuel",,,"Roulet, Antoine et Sandra","Antoine et Sandra Roulet","Roulet, Antoine et Sandra","Antoine et Sandra Roulet","Noël"
"JEM Kids",162,"Enseigne-moi",,,"Owens, Heather","Heather Owens","Owens, Heather","Heather Owens","Consécration"
"JEM Kids",163,"Entrer dans la danse",,"Get up and dance","Knock, Sam","Sam Knock","Zeller, Guy et Schneider, Rolf","Guy Zeller et Rolf Schneider","Louange"
"JEM Kids",164,"Entrons dans sa présence",,,"Landrevie, Corinne","Corinne Landrevie","Landrevie, Corinne","Corinne Landrevie","Louange"
"JEM Kids",165,"Gloire à Dieu",,"Praise the Lord","Stocker, Jay","Jay Stocker","Stocker, Jay","Jay Stocker","Louange"
"JEM Kids",166,"Gloria",,,"Crelier, Pascal","Pascal Crelier","Crelier, Pascal","Pascal Crelier","Noël"
"JEM Kids",167,"Hosanna",,,"Bussy, Jean-François","Jean-François Bussy","Bussy, Jean-François","Jean-François Bussy","Louange"
"JEM Kids",168,"Il n'y a rien de mieux",,"There's nothing better","Knock, Sam","Sam Knock","Knock, Sam","Sam Knock","Louange"
"JEM Kids",169,"Image de Dieu",,,"Owens, Heather","Heather Owens","Owens, Heather","Heather Owens","Jésus"
"JEM Kids",170,"Je loue ton nom",,"I will praise you","Frye, Jodie","Jodie Frye","Frye, Jodie","Jodie Frye","Louange"
"JEM Kids",171,"Je crois en lui",,"We can trust Him","Stocker, Jay","Jay Stocker","Stocker, Jay","Jay Stocker","Confiance"
"JEM Kids",172,"Je lui dis merci",,,"Crelier, Didier; Pons, Isabelle","Didier Crelier, Isabelle Pons","Crelier, Didier; Pons, Isabelle","Didier Crelier, Isabelle Pons","Louange"
"JEM Kids",173,"Jésus est mon super-héros",,"Jesus is my superhero","Wakerley, David & Beci","David & Beci Wakerley","Wakerley, David & Beci","David & Beci Wakerley","Jésus"
"JEM Kids",174,"L'amour de Dieu",,"God's love is big","Party, Simon","Simon Party","Party, Simon","Simon Party","Louange"
"JEM Kids",175,"Là où tu iras",,"Wherever you go","Stocker, Jay","Jay Stocker","Stocker, Jay","Jay Stocker","Peurs"
"JEM Kids",176,"Les oiseaux",,"Why not I","Peterson, John W.","John W. Peterson","Peterson, John W.","John W. Peterson","Création"
"JEM Kids",177,"Louez le Seigneur",,,"Bussy, Jean-François","Jean-François Bussy","Bussy, Jean-François","Jean-François Bussy","Louange"
"JEM Kids",178,"Louons tous le Seigneur",,,"Holgersson, Gun-Britt","Gun-Britt Holgersson","Holgersson, Gun-Britt","Gun-Britt Holgersson","Louange"
"JEM Kids",179,"Même pas peur",,"I will not be afraid","Stocker, Jay","Jay Stocker","Stocker, Jay","Jay Stocker","Peurs"
"JEM Kids",180,"Merci pour ta parole",,,"Leprince, Jean-Jacques","Jean-Jacques Leprince","Leprince, Jean-Jacques","Jean-Jacques Leprince","Parole de Dieu"
"JEM Kids",181,"Merci pour ton amour",,"So glad","Hemming, Nigel et Jo; Pickering, Sarah","Nigel et Jo Hemming, Sarah Pickering","Hemming, Nigel et Jo; Pickering, Sarah","Nigel et Jo Hemming, Sarah Pickering","Louange"
"JEM Kids",182,"Merci",,"Thankful","Stocker, Jay","Jay Stocker","Stocker, Jay","Jay Stocker","Louange"
"JEM Kids",183,"Pas de plus grand cadeau",,"No greater gift","Stocker, Jay","Jay Stocker","Stocker, Jay","Jay Stocker","Louange"
"JEM Kids",184,"Prends ma vie",,,"Dirlewander, Marc","Marc Dirlewander","Dirlewander, Marc","Marc Dirlewander","Consécration"
"JEM Kids",185,"Prince de paix",,,"Roulet, Antoine et Sandra","Antoine et Sandra Roulet","Roulet, Antoine et Sandra","Antoine et Sandra Roulet","Noël"
"JEM Kids",186,"Profond et large",,,"Inconnu","Inconnu","Inconnu","Inconnu","Louange"
"JEM Kids",187,"Quel amour",,"His great love","Glover, Ben","Ben Glover","Glover, Ben","Ben Glover","Louange"
"JEM Kids",188,"Ta vie changera",,"Your life will change","Stocker, Jay","Jay Stocker","Stocker, Jay","Jay Stocker","Parole de Dieu"
"JEM Kids",189,"Te ressembler",,,"Gustave, Laurence; Brabant, Delphine","Laurence Gustave, Delphine Brabant","Gustave, Laurence; Brabant, Delphine","Laurence Gustave, Delphine Brabant","Soif de Dieu"
"JEM Kids",190,"Toi et moi",,,"Bussy, Jean-François","Jean-François Bussy","Bussy, Jean-François","Jean-François Bussy","Identité"
"JEM Kids",191,"Tout donner",,,"Bussy, Jean-François","Jean-François Bussy","Bussy, Jean-François","Jean-François Bussy","Consécration"
"JEM Kids",192,"Tu es Seigneur",,,"Paton, Marc et Rachel","Marc et Rachel Paton","Paton, Marc et Rachel","Marc et Rachel Paton","Adoration"
"JEM Kids",193,"Tu es unique",,,"Lafont, Elisabeth; Pons, Christine","Elisabeth Lafont, Christine Pons","Lafont, Elisabeth; Pons, Christine","Elisabeth Lafont, Christine Pons","Identité"
"JEM Kids",194,"Tu m'as aimé",,,"Leprince, Jean-Jacques","Jean-Jacques Leprince","Leprince, Jean-Jacques","Jean-Jacques Leprince","Louange"
"JEM Kids",195,"Voyez de quel amour",,,"van Tyne, P.","P. van Tyne","van Tyne, P.","P. van Tyne","Père"
"JEM Kids",196,"Y'en a qui…",,,"Equipe Quartier Libre Yverdon","Equipe Quartier Libre Yverdon","Equipe Quartier Libre Yverdon","Equipe Quartier Libre Yverdon","Identité"
